State,Number of Businesses
Alabama,"220,365"
Alaska,"46,179"
Arizona,"380,459"
Arkansas,"131,901"
California,"2,045,079"
Colorado,"375,152"
Connecticut,"226,801"
Delaware,"60,444"
District of Columbia,"53,386"
Florida,"1,672,716"
Georgia,"607,808"
Hawaii,"60,171"
Idaho,"102,716"
Illinois,"592,128"
Indiana,"312,489"
Iowa,"188,586"
Kansas,"143,487"
Kentucky,"195,707"
Louisiana,"247,390"
Maine,"73,840"
Maryland,"319,695"
Massachusetts,"371,790"
Michigan,"488,009"
Minnesota,"328,615"
Mississippi,"120,831"
Missouri,"311,130"
Montana,"75,110"
Nebraska,"113,845"
Nevada,"135,235"
New Hampshire,"79,631"
New Jersey,"483,500"
New Mexico,"95,617"
New York,"966,337"
North Carolina,"528,431"
North Dakota,"53,106"
Ohio,"568,705"
Oklahoma,"191,379"
Oregon,"270,737"
Pennsylvania,"649,408"
Puerto Rico,"22,800"
Rhode Island,"55,531"
South Carolina,"246,628"
South Dakota,"55,901"
Tennessee,"298,798"
Texas,"1,569,241"
Utah,"155,454"
Vermont,"44,209"
Virgin Islands,"2,610"
Virginia,"464,585"
Washington,"438,385"
West Virginia,"67,618"
Wisconsin,"279,698"
Wyoming,"42,307"
