Period,Value
Jan-2017,535
Feb-2017,527
Mar-2017,530
Apr-2017,584
May-2017,634
Jun-2017,576
Jul-2017,617
Aug-2017,599
Sep-2017,578
Oct-2017,570
Nov-2017,787
Dec-2017,842
Jan-2018,761
Feb-2018,744
Mar-2018,763
Apr-2018,799
May-2018,797
Jun-2018,931
Jul-2018,774
Aug-2018,830
Sep-2018,596
Oct-2018,591
Nov-2018,907
Dec-2018,726
Jan-2019,696
Feb-2019,725
Mar-2019,678
Apr-2019,602
May-2019,584
Jun-2019,562
Jul-2019,593
Aug-2019,606
Sep-2019,802
Oct-2019,894
Nov-2019,686
Dec-2019,755
Jan-2020,645
Feb-2020,680
Mar-2020,606
Apr-2020,535
May-2020,690
Jun-2020,771
Jul-2020,756
Aug-2020,726
Sep-2020,668
Oct-2020,651
Nov-2020,627
Dec-2020,618
Jan-2021,722
Feb-2021,657
Mar-2021,689
Apr-2021,664
May-2021,624
Jun-2021,668
Jul-2021,609
Aug-2021,624
Sep-2021,692
Oct-2021,698
Nov-2021,771
Dec-2021,713
Jan-2022,739
Feb-2022,706
Mar-2022,702
Apr-2022,711
May-2022,711
Jun-2022,645
Jul-2022,685
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
