Period,Value
Jan-2017,705
Feb-2017,659
Mar-2017,739
Apr-2017,728
May-2017,721
Jun-2017,741
Jul-2017,743
Aug-2017,786
Sep-2017,766
Oct-2017,770
Nov-2017,765
Dec-2017,741
Jan-2018,852
Feb-2018,897
Mar-2018,863
Apr-2018,912
May-2018,917
Jun-2018,982
Jul-2018,978
Aug-2018,987
Sep-2018,813
Oct-2018,798
Nov-2018,911
Dec-2018,"1,026"
Jan-2019,902
Feb-2019,934
Mar-2019,932
Apr-2019,727
May-2019,783
Jun-2019,767
Jul-2019,724
Aug-2019,787
Sep-2019,793
Oct-2019,818
Nov-2019,851
Dec-2019,978
Jan-2020,798
Feb-2020,866
Mar-2020,744
Apr-2020,580
May-2020,655
Jun-2020,890
Jul-2020,"1,068"
Aug-2020,"1,005"
Sep-2020,"1,037"
Oct-2020,"1,016"
Nov-2020,"1,055"
Dec-2020,881
Jan-2021,"1,221"
Feb-2021,"1,027"
Mar-2021,"1,153"
Apr-2021,"1,114"
May-2021,"1,111"
Jun-2021,"1,092"
Jul-2021,"1,010"
Aug-2021,"1,123"
Sep-2021,"1,162"
Oct-2021,"1,264"
Nov-2021,"1,141"
Dec-2021,"1,112"
Jan-2022,"1,109"
Feb-2022,"1,125"
Mar-2022,"1,092"
Apr-2022,"1,114"
May-2022,"1,033"
Jun-2022,964
Jul-2022,"1,106"
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
