Period,Value
Jan-2017,467
Feb-2017,557
Mar-2017,633
Apr-2017,577
May-2017,653
Jun-2017,712
Jul-2017,628
Aug-2017,629
Sep-2017,656
Oct-2017,622
Nov-2017,618
Dec-2017,695
Jan-2018,653
Feb-2018,674
Mar-2018,690
Apr-2018,754
May-2018,786
Jun-2018,823
Jul-2018,775
Aug-2018,829
Sep-2018,553
Oct-2018,638
Nov-2018,743
Dec-2018,696
Jan-2019,587
Feb-2019,674
Mar-2019,757
Apr-2019,525
May-2019,518
Jun-2019,511
Jul-2019,552
Aug-2019,531
Sep-2019,521
Oct-2019,544
Nov-2019,547
Dec-2019,565
Jan-2020,506
Feb-2020,557
Mar-2020,499
Apr-2020,418
May-2020,503
Jun-2020,522
Jul-2020,588
Aug-2020,665
Sep-2020,625
Oct-2020,570
Nov-2020,599
Dec-2020,510
Jan-2021,777
Feb-2021,654
Mar-2021,675
Apr-2021,677
May-2021,688
Jun-2021,645
Jul-2021,602
Aug-2021,622
Sep-2021,636
Oct-2021,693
Nov-2021,659
Dec-2021,653
Jan-2022,634
Feb-2022,607
Mar-2022,702
Apr-2022,661
May-2022,691
Jun-2022,667
Jul-2022,675
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
