Period,Value
Jan-2017,602
Feb-2017,606
Mar-2017,621
Apr-2017,630
May-2017,662
Jun-2017,667
Jul-2017,649
Aug-2017,685
Sep-2017,668
Oct-2017,780
Nov-2017,955
Dec-2017,835
Jan-2018,783
Feb-2018,937
Mar-2018,805
Apr-2018,805
May-2018,874
Jun-2018,935
Jul-2018,938
Aug-2018,939
Sep-2018,817
Oct-2018,614
Nov-2018,881
Dec-2018,948
Jan-2019,870
Feb-2019,862
Mar-2019,888
Apr-2019,658
May-2019,604
Jun-2019,620
Jul-2019,623
Aug-2019,597
Sep-2019,651
Oct-2019,712
Nov-2019,681
Dec-2019,688
Jan-2020,686
Feb-2020,651
Mar-2020,484
Apr-2020,417
May-2020,564
Jun-2020,734
Jul-2020,"1,039"
Aug-2020,992
Sep-2020,929
Oct-2020,873
Nov-2020,892
Dec-2020,797
Jan-2021,"1,075"
Feb-2021,956
Mar-2021,933
Apr-2021,"1,096"
May-2021,941
Jun-2021,921
Jul-2021,844
Aug-2021,863
Sep-2021,948
Oct-2021,960
Nov-2021,973
Dec-2021,935
Jan-2022,930
Feb-2022,932
Mar-2022,907
Apr-2022,877
May-2022,893
Jun-2022,879
Jul-2022,923
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
