Period,Value
Jan-2017,631
Feb-2017,670
Mar-2017,678
Apr-2017,648
May-2017,703
Jun-2017,680
Jul-2017,687
Aug-2017,708
Sep-2017,771
Oct-2017,757
Nov-2017,786
Dec-2017,795
Jan-2018,809
Feb-2018,818
Mar-2018,812
Apr-2018,828
May-2018,863
Jun-2018,914
Jul-2018,856
Aug-2018,886
Sep-2018,726
Oct-2018,633
Nov-2018,818
Dec-2018,769
Jan-2019,713
Feb-2019,736
Mar-2019,749
Apr-2019,601
May-2019,659
Jun-2019,595
Jul-2019,545
Aug-2019,639
Sep-2019,650
Oct-2019,677
Nov-2019,580
Dec-2019,591
Jan-2020,628
Feb-2020,610
Mar-2020,575
Apr-2020,445
May-2020,516
Jun-2020,649
Jul-2020,716
Aug-2020,729
Sep-2020,748
Oct-2020,741
Nov-2020,722
Dec-2020,626
Jan-2021,877
Feb-2021,760
Mar-2021,843
Apr-2021,881
May-2021,822
Jun-2021,830
Jul-2021,876
Aug-2021,795
Sep-2021,847
Oct-2021,850
Nov-2021,878
Dec-2021,824
Jan-2022,930
Feb-2022,887
Mar-2022,861
Apr-2022,849
May-2022,872
Jun-2022,753
Jul-2022,819
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
