Period,Value
Jan-2017,385
Feb-2017,391
Mar-2017,359
Apr-2017,398
May-2017,480
Jun-2017,464
Jul-2017,448
Aug-2017,499
Sep-2017,478
Oct-2017,499
Nov-2017,475
Dec-2017,540
Jan-2018,507
Feb-2018,547
Mar-2018,560
Apr-2018,563
May-2018,559
Jun-2018,629
Jul-2018,597
Aug-2018,588
Sep-2018,447
Oct-2018,439
Nov-2018,617
Dec-2018,562
Jan-2019,493
Feb-2019,549
Mar-2019,560
Apr-2019,476
May-2019,424
Jun-2019,452
Jul-2019,439
Aug-2019,414
Sep-2019,442
Oct-2019,438
Nov-2019,466
Dec-2019,452
Jan-2020,462
Feb-2020,435
Mar-2020,341
Apr-2020,335
May-2020,386
Jun-2020,534
Jul-2020,559
Aug-2020,559
Sep-2020,557
Oct-2020,580
Nov-2020,538
Dec-2020,426
Jan-2021,655
Feb-2021,574
Mar-2021,574
Apr-2021,546
May-2021,573
Jun-2021,532
Jul-2021,792
Aug-2021,722
Sep-2021,651
Oct-2021,621
Nov-2021,628
Dec-2021,659
Jan-2022,622
Feb-2022,595
Mar-2022,614
Apr-2022,722
May-2022,683
Jun-2022,591
Jul-2022,593
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
