Period,Value
Jan-2017,810
Feb-2017,825
Mar-2017,819
Apr-2017,803
May-2017,865
Jun-2017,944
Jul-2017,875
Aug-2017,811
Sep-2017,863
Oct-2017,889
Nov-2017,882
Dec-2017,933
Jan-2018,942
Feb-2018,915
Mar-2018,962
Apr-2018,"1,009"
May-2018,977
Jun-2018,924
Jul-2018,983
Aug-2018,963
Sep-2018,802
Oct-2018,820
Nov-2018,981
Dec-2018,907
Jan-2019,845
Feb-2019,872
Mar-2019,903
Apr-2019,787
May-2019,768
Jun-2019,812
Jul-2019,780
Aug-2019,824
Sep-2019,857
Oct-2019,848
Nov-2019,821
Dec-2019,842
Jan-2020,863
Feb-2020,875
Mar-2020,662
Apr-2020,665
May-2020,753
Jun-2020,979
Jul-2020,"1,017"
Aug-2020,"1,117"
Sep-2020,"1,076"
Oct-2020,"1,078"
Nov-2020,"1,067"
Dec-2020,748
Jan-2021,"1,100"
Feb-2021,948
Mar-2021,"1,055"
Apr-2021,"1,305"
May-2021,"1,162"
Jun-2021,"1,143"
Jul-2021,"1,106"
Aug-2021,"1,052"
Sep-2021,"1,087"
Oct-2021,"1,095"
Nov-2021,"1,143"
Dec-2021,"1,109"
Jan-2022,"1,132"
Feb-2022,"1,182"
Mar-2022,"1,157"
Apr-2022,"1,167"
May-2022,"1,107"
Jun-2022,"1,138"
Jul-2022,"1,176"
Aug-2022,NA
Sep-2022,NA
Oct-2022,NA
Nov-2022,NA
Dec-2022,NA
